Rok,Kandidátnílistina,Kandidátnílistina.1,Poř.číslo,Kandidát,Kandidát.1,Věk,Navrh.strana,Polit.přísl.,Hlasy,Hlasy.1,Pořadí,Mandát
Rok,Kandidátnílistina,Kandidátnílistina,Poř.číslo,"Příjmení, jméno",Tituly,Věk,Navrh.strana,Polit.přísl.,abs.,v %,Pořadí,Mandát
2002,1,Strana zelených,8,Adam Tomáš,,49,SZ,SZ,668,3.92,4,
2002,1,Strana zelených,22,Adam Tomáš,,23,SZ,BEZPP,441,2.58,23,
2002,9,Česká strana národně sociální,1,Albrecht Miloslav,,42,ČSNS,ČSNS,319,16.07,,
2002,9,Česká strana národně sociální,5,Antoš Jan,,30,ČSNS,BEZPP,103,5.18,,
2002,1,Strana zelených,4,Bachová Marie,,56,SZ,BEZPP,516,3.02,10,
2002,2,Unie svobody-Demokratická unie,2,Bajer Marek,,26,US-DEU,US-DEU,393,8.47,,
2002,2,Unie svobody-Demokratická unie,6,Bajerová Jana,,45,US-DEU,BEZPP,247,5.32,,
2002,9,Česká strana národně sociální,26,Bari Jan,,34,ČSNS,BEZPP,36,1.81,,
2002,9,Česká strana národně sociální,8,Bariová Božena,,33,ČSNS,BEZPP,57,2.87,,
2002,3,Česká str.sociálně demokrat.,32,Bartoňová Dagmar,,41,ČSSD,BEZPP,1 180,2.04,26,
2002,1,Strana zelených,5,Bartoš Jiří,Bc.,24,SZ,BEZPP,706,4.14,3,
2002,10,NEZÁVISLÍ,4,Bartoš Jiří,,52,NEZ,BEZPP,1 106,3.89,2,
2002,1,Strana zelených,3,Bednář Bohumil,Ing.,39,SZ,SZ,918,5.38,1,
2002,8,Sdružení nezávislých,10,Beneš Luděk,PhDr.,48,SNK ED,BEZPP,2 117,3.63,5,*
2002,1,Strana zelených,15,Beran Jaroslav,,39,SZ,BEZPP,464,2.72,17,
2002,6,Křesť.demokr.unie-Čs.str.lid.,18,Bernátová Marie,,42,KDU-ČSL,BEZPP,505,2.36,17,
2002,5,Občanská demokratická strana,9,Beznoska Adolf,Ing.,40,ODS,ODS,3 407,3.41,5,*
